velocity_1h,geo_jump_km,bin_spend_rate,terminal_reversal_count,amount_ngn,amount_vs_bin_avg_ratio,is_fraud
1.0,0.0,20012.479381589506,0.0,3719.97,0.34440431577137065,0
1.0,0.0,6165.545904975753,0.0,9849.56,0.3057387122358887,0
1.0,0.0,11917.145319465288,0.0,13962.87,0.7036236207336561,0
1.0,0.0,3739.509790719,0.0,1844.47,0.4323169293258422,0
1.0,0.0,33403.976530161126,0.0,6768.33,0.16107576565098639,0
1.0,0.0,27897.501848288022,0.0,10276.99,0.3267331375666377,0
1.0,0.0,5397.165835748514,0.0,7557.21,0.5043535902282366,0
1.0,0.0,19540.7521657566,0.0,51458.98,2.5983149675720645,0
1.0,0.0,16023.75421364508,0.0,1650.05,0.031562925444626404,0
1.0,0.0,33970.2947105372,0.0,36925.76,1.035990224029781,0
1.0,0.0,19753.766240219804,0.0,72789.1,1.8223146786234146,0
1.0,0.0,46654.722850452716,0.0,16459.1,0.6167301127492533,0
1.0,0.0,13491.1472059504,0.0,33596.49,0.5966598315934363,0
1.0,0.0,22431.076971109338,0.0,2781.39,0.13937604430394052,0
1.0,0.0,23702.407929632504,0.0,41607.23,3.885986399187478,0
1.0,0.0,7778.7650939647065,0.0,7306.16,1.0142111132114315,0
1.0,0.0,8786.30772993976,0.0,2468.02,0.17447279651360253,0
1.0,0.0,13717.025930583155,0.0,1232.11,0.26454648274574344,0
1.0,0.0,21631.5389470864,0.0,8505.9,0.28946132137399744,0
1.0,0.0,8318.973240360392,0.0,23634.17,2.891613226669818,0
4.0,0.0,91228.24912559417,0.0,2349.23,0.024434845324740134,1
1.0,0.0,11774.35785018533,0.0,10628.7,2.4257250391462035,0
1.0,0.0,13790.456353181482,0.0,52923.5,1.9826713466283927,0
1.0,0.0,52068.46374434186,0.0,87284.12,2.7604111864089385,0
1.0,0.0,28901.871835399415,0.0,9494.94,0.2134859576228385,0
1.0,0.0,10145.062746697866,0.0,28102.74,1.4854273125092952,0
1.0,0.0,7189.76520579062,0.0,10472.92,0.8418087062374664,0
1.0,0.0,37796.28927626237,0.0,127515.36,6.311313528846562,0
1.0,0.0,4647.137724963352,0.0,541.77,0.1773258823429711,0
1.0,0.0,12197.139328336107,0.0,7657.4,0.14936647293663602,0
1.0,0.0,19468.176710770644,0.0,16091.43,3.6090184654643847,0
1.0,0.0,14167.865010030035,0.0,13702.05,0.3610340505287225,0
1.0,0.0,33017.08003338609,0.0,67013.5,3.606714947370717,0
1.0,0.0,28150.527830806655,0.0,3119.32,0.12525851230747392,0
1.0,0.0,22338.085603278818,0.0,45668.06,1.792277172188017,0
1.0,0.0,7427.419776920299,0.0,12175.69,0.6589759271188579,0
1.0,0.0,10751.936939157686,0.0,7515.61,0.9959514025602204,0
1.0,0.0,61042.9372305421,0.0,2604.32,0.08117543523394342,0
1.0,0.0,32873.95650705829,0.0,10529.48,0.010783732722499106,0
1.0,0.0,24417.69105428205,0.0,1538.4,0.4752830222117209,0
1.0,0.0,28590.542246560828,0.0,24694.54,0.7211635669716338,0
1.0,0.0,15646.858373110792,0.0,8545.58,1.197495189038234,0
1.0,0.0,12640.962375671792,0.0,1087.75,0.3871795224725797,0
1.0,0.0,36722.13882160504,0.0,6646.73,0.7123938805900952,0
1.0,0.0,16229.686638706664,0.0,37786.92,1.8967858774584503,0
1.0,0.0,10476.065456992914,0.0,1920.27,0.30402401575387616,0
1.0,0.0,10907.177004667283,0.0,7596.32,3.0575335661294814,0
1.0,0.0,6427.208872621076,0.0,2721.22,0.15053258306387562,0
1.0,0.0,1873.3525114987233,0.0,2322.08,0.2592700971936231,0
1.0,0.0,42514.5655621633,0.0,26215.09,0.7366389386460583,0
1.0,0.0,4592.441310680258,0.0,11416.13,1.4383541165227782,0
1.0,0.0,8429.376261487316,0.0,3404.93,1.507598267184786,0
1.0,0.0,15624.888604920307,0.0,36172.24,1.3218028058187425,0
1.0,0.0,5513.192900440411,0.0,1936.43,0.26437164796029317,0
1.0,0.0,32095.143604917437,0.0,25448.24,0.7510655653910896,0
1.0,0.0,4486.14925157022,0.0,3358.64,0.9392091555248911,0
1.0,0.0,3336.6991676504813,0.0,9007.72,1.0200545557746485,0
1.0,0.0,22699.20366370285,0.0,2494.93,0.4559522828531041,0
